RunId,iteration,Step,has_regulation,num_month_rent_renovation,rent_increase_differential,max_complaint,rent_discount,init_num_people,base_decay_constant,decay_differential,mean_quality,mean_complaints,mean_displacement,mean_housing_quality,mean_rent_price,hh_low_quality,hh_rent_regulation,movement,attempt,movement_li,attempt_li
34,5,12,True,6,0.1,4,0.5,2,0.15,0.05,"(68.5730355551078, 47.77556603025116)","(0.5491803278688525, 0.53125)","(0.9590163934426229, 0.96875)","(32.094973059054325, 100.0)","(0.1990644472261621, 1.6512109283670455)","(31, 17)","(155, 153)",105,"(820, 162)",10,"(218, 29)"
34,5,14,True,6,0.1,4,0.5,2,0.15,0.05,"(67.77888131045022, 44.25451285420675)","(0.6967213114754098, 0.4375)","(0.9672131147540983, 0.96875)","(29.78525096621141, 100.0)","(0.1990644472261621, 2.0712789885436225)","(33, 18)","(155, 153)",105,"(972, 191)",10,"(254, 35)"
34,5,16,True,6,0.1,4,0.5,2,0.15,0.05,"(67.84195152340055, 41.1415931353089)","(0.5901639344262295, 0.65625)","(0.9672131147540983, 0.96875)","(28.825294907079385, 100.0)","(0.19916078637189627, 2.607452224314888)","(34, 20)","(155, 153)",106,"(1124, 221)",10,"(290, 40)"
34,5,18,True,6,0.1,4,0.5,2,0.15,0.05,"(64.46700537158637, 42.969566397689256)","(0.819672131147541, 0.46875)","(0.9754098360655737, 1.0)","(25.21038803677158, 100.0)","(0.19916078637189627, 3.2707880701805974)","(53, 19)","(155, 153)",106,"(1276, 249)",10,"(326, 47)"
34,5,20,True,6,0.1,4,0.5,2,0.15,0.05,"(66.51029881609259, 41.40392986961254)","(0.5737704918032787, 0.46875)","(0.9754098360655737, 1.0)","(27.06146740635359, 100.0)","(0.19916078637189627, 4.102876555234542)","(36, 18)","(155, 153)",106,"(1428, 288)",10,"(362, 52)"
35,5,0,True,6,0.15,4,0.5,2,0.15,0.05,"(75.07034802544915, 77.0533587405023)","(0.0, 0.0)","(0.0, 0.0)","(72.79045896637811, 77.5186823979877)","(0.21237647011881264, 0.43117573701935485)","(0, 0)","(136, 172)",0,"(0, 0)",0,"(0, 0)"
35,5,2,True,6,0.15,4,0.5,2,0.15,0.05,"(69.5475599179174, 74.36135026032778)","(0.6825396825396826, 0.39285714285714285)","(0.11904761904761904, 0.7142857142857143)","(48.792903805297904, 100.0)","(0.21164811111080925, 0.6145728125427647)","(41, 8)","(159, 149)",53,"(112, 0)",3,"(42, 0)"
35,5,4,True,6,0.15,4,0.5,2,0.15,0.05,"(66.73970282632523, 70.03417548460394)","(0.8333333333333334, 0.35714285714285715)","(0.47619047619047616, 0.8571428571428571)","(40.4691237657596, 100.0)","(0.21047581499826953, 0.8413635315539137)","(43, 10)","(155, 153)",85,"(245, 33)",3,"(83, 3)"
35,5,6,True,6,0.15,4,0.5,2,0.15,0.05,"(66.71658338159843, 68.9949137213466)","(0.6904761904761905, 0.42857142857142855)","(0.8492063492063492, 0.9642857142857143)","(39.979555307622775, 100.0)","(0.21153579327880168, 1.149282590909888)","(43, 10)","(157, 151)",96,"(390, 70)",3,"(125, 6)"
35,5,8,True,6,0.15,4,0.5,2,0.15,0.05,"(63.528309048463875, 65.31426557747541)","(0.8412698412698413, 0.2857142857142857)","(0.8888888888888888, 1.0)","(34.25575855064613, 100.0)","(0.21153579327880168, 1.5732529386965453)","(40, 10)","(157, 151)",96,"(534, 100)",3,"(167, 10)"
